lng,lat
-70.67766453131313,-33.4529476
-70.67766453131313,-33.4529476
-70.67766453131313,-33.4529476
-70.67395033939394,-33.584979600000004
-70.67395033939394,-33.58222893333333
-70.67395033939394,-33.46119960000001
-70.67395033939394,-33.45844893333334
-70.67395033939394,-33.455698266666666
-70.67395033939394,-33.455698266666666
-70.67395033939394,-33.4529476
-70.67395033939394,-33.4529476
-70.67395033939394,-33.45019693333333
-70.67395033939394,-33.44744626666667
-70.67023614747474,-33.5519716
-70.67023614747474,-33.54922093333334
-70.67023614747474,-33.54647026666667
-70.67023614747474,-33.53821826666667
-70.67023614747474,-33.535467600000004
-70.67023614747474,-33.46119960000001
-70.67023614747474,-33.45844893333334
-70.67023614747474,-33.455698266666666
-70.67023614747474,-33.4529476
-70.67023614747474,-33.45019693333333
-70.67023614747474,-33.44744626666667
-70.67023614747474,-33.4446956
-70.67023614747474,-33.43919426666667
-70.66652195555554,-33.5519716
-70.66652195555554,-33.54922093333334
-70.66652195555554,-33.54096893333333
-70.66652195555554,-33.53821826666667
-70.66652195555554,-33.535467600000004
-70.66652195555554,-33.53271693333333
-70.66652195555554,-33.52996626666667
-70.66652195555554,-33.455698266666666
-70.66652195555554,-33.4529476
-70.66652195555554,-33.45019693333333
-70.66652195555554,-33.44744626666667
-70.66652195555554,-33.4446956
-70.66652195555554,-33.43919426666667
-70.66652195555554,-33.4364436
-70.66280776363638,-33.54096893333333
-70.66280776363638,-33.53821826666667
-70.66280776363638,-33.53821826666667
-70.66280776363638,-33.535467600000004
-70.66280776363638,-33.535467600000004
-70.66280776363638,-33.53271693333333
-70.66280776363638,-33.52996626666667
-70.66280776363638,-33.527215600000005
-70.66280776363638,-33.4529476
-70.66280776363638,-33.45019693333333
-70.66280776363638,-33.44744626666667
-70.66280776363638,-33.4446956
-70.66280776363638,-33.44194493333333
-70.66280776363638,-33.43919426666667
-70.65909357171715,-33.53821826666667
-70.65909357171715,-33.535467600000004
-70.65909357171715,-33.53271693333333
-70.65909357171715,-33.52996626666667
-70.65909357171715,-33.43919426666667
-70.65537937979798,-33.4694516
-70.65537937979798,-33.44744626666667
-70.65537937979798,-33.4446956
-70.65537937979798,-33.44194493333333
-70.6516651878788,-33.4446956
-70.6516651878788,-33.44194493333333
-70.6516651878788,-33.43369293333333
-70.6516651878788,-33.43094226666667
-70.64795099595959,-33.44744626666667
-70.64795099595959,-33.4446956
-70.64795099595959,-33.44194493333333
-70.64795099595959,-33.43919426666667
-70.6442368040404,-33.5437196
-70.6442368040404,-33.54096893333333
-70.6442368040404,-33.4446956
-70.6442368040404,-33.44194493333333
-70.6442368040404,-33.44194493333333
-70.6442368040404,-33.43919426666667
-70.6442368040404,-33.39243293333333
-70.6442368040404,-33.38968226666667
-70.6405226121212,-33.54096893333333
-70.6405226121212,-33.44194493333333
-70.6405226121212,-33.39243293333333
-70.6405226121212,-33.38968226666667
-70.63309422828283,-33.43919426666667
-70.63309422828283,-33.4364436
-70.63309422828283,-33.4364436
-70.63309422828283,-33.43369293333333
-70.63309422828283,-33.43094226666667
-70.62938003636361,-33.44744626666667
-70.62938003636361,-33.43919426666667
-70.62938003636361,-33.4364436
-70.62938003636361,-33.43369293333333
-70.62938003636361,-33.43094226666667
-70.62566584444444,-33.4694516
-70.62566584444444,-33.46670093333333
-70.61823746060605,-33.49145693333333
-70.60338069292929,-33.53271693333333
-70.60338069292929,-33.52996626666667
-70.59966650101009,-33.527215600000005
-70.59966650101009,-33.52446493333333
-70.5959523090909,-33.52996626666667
-70.5959523090909,-33.527215600000005
-70.5959523090909,-33.52446493333333
-70.59223811717172,-33.5107116
-70.58852392525252,-33.57947826666667
-70.58852392525252,-33.576727600000005
-70.58852392525252,-33.57397693333333
-70.58852392525252,-33.5107116
-70.58852392525252,-33.50796093333334
-70.58480973333333,-33.58222893333333
-70.58480973333333,-33.57947826666667
-70.58480973333333,-33.576727600000005
-70.58480973333333,-33.57397693333333
-70.58480973333333,-33.57122626666667
-70.58480973333333,-33.5684756
-70.58109554141414,-33.6097356
-70.58109554141414,-33.60698493333334
-70.58109554141414,-33.593231599999996
-70.58109554141414,-33.59048093333334
-70.58109554141414,-33.58773026666667
-70.58109554141414,-33.57947826666667
-70.58109554141414,-33.576727600000005
-70.58109554141414,-33.57397693333333
-70.58109554141414,-33.57122626666667
-70.57738134949493,-33.61248626666667
-70.57738134949493,-33.6097356
-70.57738134949493,-33.6097356
-70.57738134949493,-33.6097356
-70.57738134949493,-33.60698493333334
-70.57738134949493,-33.593231599999996
-70.57738134949493,-33.59048093333334
-70.57738134949493,-33.58773026666667
-70.57366715757577,-33.6097356
-70.57366715757577,-33.6097356
-70.57366715757577,-33.60698493333334
-70.57366715757577,-33.4694516
-70.57366715757577,-33.46670093333333
